Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Asset_Tier,Is_Liquidated,Liquidation_Probability,Projected_Asset_Yield,CELR
15098.0,182,3,39916.5,3,3,5,High-Yield Volatile,1,0.99,14602.80913139227,14456.781040078347
15749.0,235,3,44534.3,2,3,5,Distressed Equity,1,0.99,6758.293561875092,6690.710626256341
12346.0,326,12,77556.46,2,5,5,Distressed Equity,1,0.99,2541.5254331167193,2516.1101787855523
13631.0,100,11,3070.42,3,5,5,High-Yield Volatile,1,1.0,2224.343185905029,2224.343185905029
16446.0,1,2,168472.5,5,2,5,Dormant Capital,0,0.02,103647.48667095642,2072.9497334191283
12980.0,158,21,16245.78,3,5,5,High-Yield Volatile,1,1.0,2024.9181434850216,2024.9181434850216
14045.0,109,16,11313.03,3,5,5,High-Yield Volatile,1,0.96,1963.025466818051,1884.5044481453288
13027.0,114,19,17335.2,3,5,5,High-Yield Volatile,1,1.0,1560.9703967892954,1560.9703967892954
17723.0,127,7,3378.4000000000005,3,4,5,High-Yield Volatile,1,0.98,1289.23718035657,1263.4524367494384
18087.0,98,17,14761.52,3,5,5,High-Yield Volatile,1,0.98,1136.6723765341007,1113.9389290034187
17553.0,130,4,3757.6,3,4,5,High-Yield Volatile,1,1.0,1077.0072855778863,1077.0072855778863
13848.0,92,8,3335.0,3,4,5,High-Yield Volatile,1,0.97,962.444782630741,933.5714391518187
15389.0,172,5,2733.8,3,4,4,High-Yield Volatile,1,0.99,899.6456391961989,890.649182804237
12643.0,128,12,8350.42,3,5,5,High-Yield Volatile,1,0.97,874.6201750987985,848.3815698458345
17876.0,400,3,3424.02,2,3,5,Distressed Equity,1,1.0,776.2595515155604,776.2595515155604
12908.0,176,5,1776.0,3,4,4,High-Yield Volatile,1,1.0,747.9152138825689,747.9152138825689
15760.0,631,2,13916.34,1,2,5,Dormant Capital,1,1.0,700.3780105429038,700.3780105429038
16692.0,256,4,1914.7,2,4,4,Distressed Equity,1,1.0,687.0763632531008,687.0763632531008
15797.0,113,6,2821.08,3,4,4,High-Yield Volatile,1,1.0,580.8810189906583,580.8810189906583
17457.0,127,14,5984.81,3,5,5,High-Yield Volatile,1,1.0,515.0254703386616,515.0254703386616
14566.0,111,4,4092.0,3,3,5,High-Yield Volatile,1,0.99,499.0702001846903,494.0794981828434
17616.0,174,4,1060.8,3,4,3,High-Yield Volatile,1,0.99,454.1906164878892,449.6487103230103
13082.0,126,21,7335.75,3,5,5,High-Yield Volatile,1,0.98,450.9169523647788,441.89861331748324
14828.0,197,13,9839.46,2,5,5,Distressed Equity,1,1.0,429.61891301591675,429.61891301591675
13802.0,139,19,26259.11,3,5,5,High-Yield Volatile,1,1.0,423.0225015731737,423.0225015731737
14195.0,202,6,2615.6,2,4,4,Distressed Equity,1,0.99,406.90534101186114,402.8362876017425
17353.0,129,4,3242.0,3,4,5,High-Yield Volatile,1,1.0,392.260618483002,392.260618483002
16698.0,227,2,1998.0,2,2,4,Dormant Capital,1,1.0,363.60278863425003,363.60278863425003
16027.0,92,15,2048.36,3,5,4,High-Yield Volatile,1,0.97,369.98723233633484,358.8876153662448
15372.0,137,8,6017.06,3,4,5,High-Yield Volatile,1,0.98,358.292894981517,351.12703708188667
15653.0,93,2,877.44,3,2,3,Dormant Capital,1,1.0,338.9630007599517,338.9630007599517
12875.0,143,5,1356.9900000000002,3,4,4,High-Yield Volatile,1,1.0,333.1818668327234,333.1818668327234
16180.0,100,13,16249.87,3,5,5,High-Yield Volatile,1,0.97,338.7264807723896,328.56468634921794
12755.0,281,11,9030.66,2,5,5,Distressed Equity,1,1.0,328.45193534719624,328.45193534719624
12891.0,186,11,840.5,3,5,3,High-Yield Volatile,1,1.0,326.7727110238051,326.7727110238051
13452.0,259,3,729.8,2,3,3,Distressed Equity,1,1.0,326.0573958623963,326.0573958623963
14364.0,109,8,3717.35,3,4,5,High-Yield Volatile,1,1.0,320.41563303862443,320.41563303862443
18064.0,133,11,4495.03,3,5,5,High-Yield Volatile,1,1.0,319.98600774594775,319.98600774594775
17308.0,393,2,4511.76,2,3,5,Distressed Equity,1,1.0,317.89679137481534,317.89679137481534
17941.0,131,4,1433.28,3,4,4,High-Yield Volatile,1,1.0,312.5501073442572,312.5501073442572
12737.0,499,2,3710.5,1,2,5,Dormant Capital,1,1.0,310.3123585090451,310.3123585090451
15100.0,334,7,2894.7,2,4,4,Distressed Equity,1,1.0,301.9998075920336,301.9998075920336
17310.0,387,2,1025.1,2,3,3,Distressed Equity,1,1.0,299.70938350649806,299.70938350649806
16716.0,267,3,2149.6800000000003,2,3,4,Distressed Equity,1,1.0,299.38121789419097,299.38121789419097
15032.0,256,8,13780.65,2,4,5,Distressed Equity,1,0.99,298.732745563583,295.7454181079472
17409.0,185,10,7793.51,3,5,5,High-Yield Volatile,1,0.99,280.65438054273244,277.8478367373051
17152.0,195,4,2016.5,2,4,4,Distressed Equity,1,1.0,272.76732429066215,272.76732429066215
13929.0,169,11,3494.1,3,5,5,High-Yield Volatile,1,1.0,264.6727031284492,264.6727031284492
18093.0,93,8,4452.71,3,5,5,High-Yield Volatile,1,0.98,269.6958063682938,264.30189024092795
17268.0,108,11,1733.89,3,5,4,High-Yield Volatile,1,1.0,254.61000925398693,254.61000925398693
13162.0,122,16,9275.49,3,5,5,High-Yield Volatile,1,0.98,244.9295869347172,240.03099519602287
13791.0,128,2,1516.0,3,2,4,Dormant Capital,1,1.0,238.60417153808947,238.60417153808947
16087.0,389,5,1739.92,2,4,4,Distressed Equity,1,1.0,231.54462181997505,231.54462181997505
15202.0,420,3,6001.49,1,3,5,Distressed Equity,1,1.0,228.90962352804533,228.90962352804533
14616.0,243,5,527.78,2,4,2,Distressed Equity,1,1.0,226.90784896412788,226.90784896412788
17029.0,111,7,2137.3,3,4,4,High-Yield Volatile,1,1.0,220.947143731807,220.947143731807
15260.0,100,25,9188.23,3,5,5,High-Yield Volatile,1,0.97,224.95015873678608,218.2016539746825
13217.0,122,4,666.48,3,3,3,High-Yield Volatile,1,1.0,217.19550357901596,217.19550357901596
16696.0,135,4,657.9,3,4,3,High-Yield Volatile,1,1.0,216.9630041960155,216.9630041960155
14463.0,98,4,786.5699999999999,3,3,3,High-Yield Volatile,1,1.0,205.39337357168904,205.39337357168904
12422.0,96,17,5231.8,3,5,5,High-Yield Volatile,1,0.97,211.73995053378653,205.38775201777293
17391.0,164,2,508.8,3,3,2,High-Yield Volatile,1,1.0,203.2579745205133,203.2579745205133
15812.0,107,12,5201.47,3,5,5,High-Yield Volatile,1,1.0,202.74598557282116,202.74598557282116
12917.0,128,6,4359.2,3,4,5,High-Yield Volatile,1,1.0,202.50420321613746,202.50420321613746
17923.0,282,3,497.0,2,3,2,Distressed Equity,1,1.0,200.58882759717739,200.58882759717739
14403.0,130,6,1880.51,3,4,4,High-Yield Volatile,1,1.0,196.38411049591372,196.38411049591372
15400.0,92,8,1302.3,3,4,4,High-Yield Volatile,1,1.0,194.93083905343602,194.93083905343602
16998.0,150,5,402.0,3,4,2,High-Yield Volatile,1,1.0,191.24971315344163,191.24971315344163
17281.0,374,6,797.85,2,4,3,Distressed Equity,1,1.0,187.62503300475322,187.62503300475322
14063.0,438,9,22710.2,1,5,5,Distressed Equity,1,0.99,183.2411645065403,181.40875286147488
13223.0,200,6,969.12,2,4,3,Distressed Equity,1,1.0,180.16563460741685,180.16563460741685
13249.0,92,9,1608.9299999999998,3,5,4,High-Yield Volatile,1,1.0,176.20672437122175,176.20672437122175
14918.0,116,9,5955.81,3,5,5,High-Yield Volatile,1,0.99,176.96556583315538,175.19591017482384
16927.0,116,3,543.05,3,3,2,High-Yield Volatile,1,1.0,175.1502449107668,175.1502449107668
17715.0,201,2,489.6,2,3,2,Distressed Equity,1,1.0,173.12431056384725,173.12431056384725
15381.0,214,5,1890.57,2,4,4,Distressed Equity,1,1.0,171.8141685757478,171.8141685757478
18220.0,227,6,1921.76,2,4,4,Distressed Equity,1,1.0,169.9864305904916,169.9864305904916
14802.0,438,2,1502.98,1,2,4,Dormant Capital,1,1.0,165.04434958151887,165.04434958151887
13135.0,197,2,3371.45,2,2,5,Dormant Capital,1,1.0,154.61932478796962,154.61932478796962
16990.0,219,2,344.0,2,3,2,Distressed Equity,1,0.99,154.16267323705355,152.62104650468302
14407.0,107,6,2157.73,3,4,4,High-Yield Volatile,1,0.99,150.49577817805937,148.99082039627876
14091.0,654,2,9530.08,1,2,5,Dormant Capital,1,1.0,139.73274756007567,139.73274756007567
17083.0,109,9,4049.79,3,5,5,High-Yield Volatile,1,1.0,137.22623880829448,137.22623880829448
13748.0,96,9,2268.35,3,5,4,High-Yield Volatile,1,0.99,137.94754647432575,136.5680710095825
14053.0,124,4,572.3,3,3,2,High-Yield Volatile,1,1.0,135.08528194234623,135.08528194234623
13762.0,219,5,2472.48,2,4,4,Distressed Equity,1,1.0,134.30591029885667,134.30591029885667
13722.0,132,10,5635.41,3,5,5,High-Yield Volatile,1,0.99,131.3462505401028,130.03278803470178
17588.0,100,7,2939.55,3,4,4,High-Yield Volatile,1,1.0,129.7848578610482,129.7848578610482
17204.0,175,9,5504.6900000000005,3,5,5,High-Yield Volatile,1,1.0,128.68091349730378,128.68091349730378
13559.0,513,2,990.0,1,2,3,Dormant Capital,1,1.0,127.95858544002857,127.95858544002857
12510.0,143,9,5178.02,3,5,5,High-Yield Volatile,1,1.0,126.01490360869587,126.01490360869587
15759.0,218,7,830.9300000000001,2,4,3,Distressed Equity,1,1.0,125.64205854058139,125.64205854058139
13952.0,218,14,12823.521,2,5,5,Distressed Equity,1,1.0,125.25604865259633,125.25604865259633
15777.0,241,7,1762.61,2,4,4,Distressed Equity,1,1.0,124.15860655615897,124.15860655615897
13414.0,134,6,2494.14,3,4,4,High-Yield Volatile,1,0.99,124.95136909715046,123.70185540617895
16276.0,177,3,2629.3900000000003,3,3,4,High-Yield Volatile,1,1.0,123.6196080923055,123.6196080923055
12853.0,135,11,3907.5,3,5,5,High-Yield Volatile,1,1.0,123.15252865605467,123.15252865605467
15768.0,116,34,15601.09,3,5,5,High-Yield Volatile,1,0.98,124.80968803466192,122.31349427396867
